source_file,model,variant,input_len,output_len,offered_qps,sample_count,power_w_mean,power_w_median,power_w_max,gpu_temp_c_mean,gpu_temp_c_median,gpu_temp_c_max,memory_temp_c_mean,memory_temp_c_median,memory_temp_c_max,sm_util_pct_mean,sm_util_pct_median,sm_util_pct_max,memory_util_pct_mean,memory_util_pct_median,memory_util_pct_max,framebuffer_mb_mean,framebuffer_mb_median,framebuffer_mb_max,bar1_mb_mean,bar1_mb_median,bar1_mb_max,pcie_rx_mb_s_mean,pcie_rx_mb_s_median,pcie_rx_mb_s_max,pcie_tx_mb_s_mean,pcie_tx_mb_s_median,pcie_tx_mb_s_max
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B+p)/mon/default-random-128x128-2qps-200p.txt,Llama-3.2-3B,all+sd(1B+p),128,128,2.0,109,205.3302752293578,209.0,317.0,42.77981651376147,43.0,45.0,40.45871559633027,40.0,43.0,26.009174311926607,0.0,74.0,10.743119266055047,0.0,31.0,130214.52293577982,130215.0,130215.0,130215.52293577982,130216.0,130216.0,43.8348623853211,0.0,132.0,9.293577981651376,1.0,31.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B+p)/mon/default-random-128x512-2qps-200p.txt,Llama-3.2-3B,all+sd(1B+p),128,512,2.0,109,265.29357798165137,298.0,335.0,45.45871559633027,46.0,48.0,42.92660550458716,44.0,45.0,51.54128440366973,70.0,73.0,21.81651376146789,30.0,31.0,130214.52293577982,130215.0,130215.0,130215.52293577982,130216.0,130216.0,87.05504587155963,117.0,140.0,17.0,22.0,74.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B+p)/mon/default-random-512x128-16qps-200p.txt,Llama-3.2-3B,all+sd(1B+p),512,128,16.0,25,252.48,138.0,435.0,40.88,39.0,48.0,37.24,36.0,43.0,35.48,4.0,85.0,13.88,2.0,34.0,130212.68,130211.0,130215.0,130213.68,130212.0,130216.0,59.32,4.0,150.0,10.8,1.0,26.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B+p)/mon/default-random-512x128-1qps-200p.txt,Llama-3.2-3B,all+sd(1B+p),512,128,1.0,204,180.32843137254903,179.5,306.0,42.127450980392155,42.0,46.0,39.38725490196079,39.0,43.0,20.99019607843137,0.0,74.0,8.691176470588236,0.0,31.0,130212.87254901961,130213.0,130213.0,130213.87254901961,130214.0,130214.0,32.490196078431374,0.0,133.0,6.083333333333333,0.0,26.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B+p)/mon/default-random-512x128-2qps-200p.txt,Llama-3.2-3B,all+sd(1B+p),512,128,2.0,109,206.10091743119267,207.0,315.0,38.85321100917431,39.0,42.0,36.642201834862384,36.0,40.0,26.743119266055047,0.0,73.0,11.045871559633028,0.0,31.0,130212.76146788991,130213.0,130213.0,130213.76146788991,130214.0,130214.0,48.71559633027523,0.0,134.0,8.954128440366972,0.0,26.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B+p)/mon/default-random-512x128-4qps-200p.txt,Llama-3.2-3B,all+sd(1B+p),512,128,4.0,61,240.45901639344262,254.0,338.0,39.622950819672134,40.0,45.0,37.18032786885246,38.0,41.0,37.78688524590164,64.0,73.0,15.60655737704918,26.0,31.0,130212.5737704918,130213.0,130213.0,130213.5737704918,130214.0,130214.0,70.37704918032787,107.0,137.0,13.37704918032787,21.0,40.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B+p)/mon/default-random-512x128-8qps-200p.txt,Llama-3.2-3B,all+sd(1B+p),512,128,8.0,38,255.8421052631579,303.0,369.0,40.28947368421053,42.0,45.0,37.526315789473685,39.0,42.0,42.5,68.5,77.0,17.13157894736842,27.0,31.0,130212.31578947368,130213.0,130213.0,130213.31578947368,130214.0,130214.0,67.86842105263158,107.0,149.0,12.736842105263158,21.0,25.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B+p)/mon/default-random-768x192-2qps-200p.txt,Llama-3.2-3B,all+sd(1B+p),768,192,2.0,110,236.75454545454545,241.5,351.0,44.29090909090909,44.0,50.0,41.68181818181818,43.0,44.0,41.81818181818182,67.0,80.0,17.354545454545455,28.0,32.0,130212.76363636364,130213.0,130213.0,130213.76363636364,130214.0,130214.0,63.163636363636364,97.5,140.0,11.736363636363636,18.0,26.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B+p)/mon/default-random-768x32-2qps-200p.txt,Llama-3.2-3B,all+sd(1B+p),768,32,2.0,109,185.651376146789,188.0,289.0,42.41284403669725,42.0,47.0,39.559633027522935,39.0,43.0,23.128440366972477,0.0,80.0,9.431192660550458,0.0,31.0,130212.76146788991,130213.0,130213.0,130213.76146788991,130214.0,130214.0,22.65137614678899,0.0,150.0,4.293577981651376,0.0,26.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-cb/mon/default-random-128x128-2qps-200p.txt,Llama-3.2-3B,cb,128,128,2.0,115,280.37391304347824,298.0,427.0,44.25217391304348,44.0,49.0,43.06956521739131,43.0,50.0,44.278260869565216,65.0,84.0,22.721739130434784,34.0,46.0,124650.30434782608,124651.0,124651.0,124651.30434782608,124652.0,124652.0,27.104347826086958,15.0,74.0,7.478260869565218,10.0,26.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-cb/mon/default-random-128x512-2qps-200p.txt,Llama-3.2-3B,cb,128,512,2.0,111,372.963963963964,409.0,429.0,48.909909909909906,51.0,53.0,47.711711711711715,49.0,52.0,70.6036036036036,83.0,84.0,35.729729729729726,41.0,45.0,124650.2972972973,124651.0,124651.0,124651.2972972973,124652.0,124652.0,66.98198198198199,72.0,126.0,13.873873873873874,16.0,20.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-cb/mon/default-random-512x128-16qps-200p.txt,Llama-3.2-3B,cb,512,128,16.0,25,276.64,135.0,455.0,40.2,37.0,48.0,38.4,35.0,46.0,38.72,0.0,82.0,17.88,0.0,41.0,124647.88,124645.0,124651.0,124648.88,124646.0,124652.0,60.88,0.0,161.0,9.12,1.0,22.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-cb/mon/default-random-512x128-1qps-200p.txt,Llama-3.2-3B,cb,512,128,1.0,205,239.49268292682927,239.0,407.0,42.17560975609756,42.0,47.0,40.985365853658536,41.0,48.0,32.17560975609756,0.0,84.0,16.536585365853657,0.0,44.0,124650.61951219512,124651.0,124651.0,124651.61951219512,124652.0,124652.0,22.434146341463414,0.0,89.0,5.907317073170732,1.0,16.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-cb/mon/default-random-512x128-2qps-200p.txt,Llama-3.2-3B,cb,512,128,2.0,109,293.3394495412844,315.0,414.0,41.31192660550459,42.0,45.0,40.77981651376147,42.0,46.0,45.19266055045872,74.0,84.0,22.862385321100916,37.0,44.0,124650.28440366972,124651.0,124651.0,124651.28440366972,124652.0,124652.0,30.220183486238533,49.0,80.0,8.091743119266056,13.0,16.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-cb/mon/default-random-512x128-4qps-200p.txt,Llama-3.2-3B,cb,512,128,4.0,62,318.7903225806452,376.0,415.0,42.03225806451613,43.0,46.0,41.25806451612903,43.0,46.0,54.45161290322581,82.0,84.0,27.032258064516128,40.0,44.0,124649.74193548386,124651.0,124651.0,124650.74193548386,124652.0,124652.0,47.5,52.5,113.0,11.048387096774194,14.0,22.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-cb/mon/default-random-512x128-8qps-200p.txt,Llama-3.2-3B,cb,512,128,8.0,38,309.2894736842105,401.5,435.0,41.18421052631579,43.0,46.0,39.94736842105263,42.5,45.0,51.89473684210526,82.0,84.0,24.973684210526315,39.0,42.0,124648.94736842105,124651.0,124651.0,124649.94736842105,124652.0,124652.0,51.8421052631579,67.5,135.0,10.605263157894736,15.0,21.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-cb/mon/default-random-768x192-2qps-200p.txt,Llama-3.2-3B,cb,768,192,2.0,110,335.55454545454546,389.0,435.0,48.30909090909091,49.5,56.0,46.872727272727275,48.0,53.0,57.5,83.0,85.0,29.9,42.0,46.0,124650.29090909091,124651.0,124651.0,124651.29090909091,124652.0,124652.0,42.86363636363637,54.0,92.0,10.49090909090909,14.0,17.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-cb/mon/default-random-768x32-2qps-200p.txt,Llama-3.2-3B,cb,768,32,2.0,109,199.32110091743118,203.0,338.0,41.26605504587156,41.0,44.0,39.5045871559633,39.0,43.0,15.293577981651376,0.0,84.0,7.73394495412844,0.0,44.0,124650.28440366972,124651.0,124651.0,124651.28440366972,124652.0,124652.0,9.926605504587156,0.0,87.0,3.091743119266055,0.0,18.0
